ent_num,add_num,address,complete_address,country,add_remarks
9639,12812,,,,
9640,12813,,,,
9641,12128,,Gaza,Palestinian,
9642,12129,,"Hebron, West Bank",Palestinian,
9643,12814,,,,
9644,12815,,,,
9645,12130,,Gaza,Palestinian,
9646,12131,,"Ramallah, West Bank",Palestinian,
9647,68713,,,Region: Gaza,
9648,12817,,,,
9649,12132,,"Jenin, West Bank",Palestinian,
9650,12133,,"Ramallah, West Bank",Palestinian,
9651,12134,,"Tulkarim, West Bank",Palestinian,
9652,12135,,"Bethlehem, West Bank",Palestinian,
9653,12136,,"Qalqilya, West Bank",Palestinian,
9654,12137,,"Salfit, West Bank",Palestinian,
9655,12138,,"Nablus, West Bank",Palestinian,
9656,12139,,"Khan Younis, West Bank",Palestinian,
9657,12140,,"Hebron, West Bank",Palestinian,
9658,12141,,"Tubas, West Bank",Palestinian,
9659,31130,,Jabaliya,Region: Gaza,
9660,12142,,Gaza,Palestinian,
9661,12143,,"Rafah, West Bank",Palestinian,
9662,12144,,"Gaza City, Gaza",Palestinian,
9663,12145,,"Hebron, West Bank",Palestinian,
9664,12146,,Gaza,Palestinian,
9665,12147,,"Oja, West Bank",Palestinian,
9666,12148,,"Gaza City, Gaza",Palestinian,
9667,12149,,"Ramallah, West Bank",Palestinian,
9668,12819,,,,
9669,12820,,,,
9670,12821,,,,
9671,12822,,,,
9672,12823,,,,
9673,12824,,,,
9674,12825,,,,
9675,12826,,,,
9676,12827,,,,
9677,12828,,,,
9678,12829,,,,
9679,12830,,,,
9680,12831,,,,
9681,12832,,,,
9682,12833,,,,
9683,12834,,,,
9684,12835,,,,
9685,12836,,,,
9686,12837,,,,
9687,12838,,,,
9688,12150,,"Jenin, West Bank",Palestinian,
9689,12839,,,,
9690,12840,,,,
9691,12841,,,,
9692,12842,,,,
9693,12843,,,,
9694,12844,,,,
9695,12845,,,,
9696,12846,,,,
9697,12847,,,,
9698,12848,,,,
9699,12849,,,,
9700,12850,,,,
9701,12851,,,,
9702,12852,,,,
9703,12151,,Gaza,Palestinian,
9704,12853,,,,
9705,12854,,,,
9706,12855,,,,
9707,12856,,,,
9708,12857,,,,
9709,12858,,,,
9710,12859,,,,
9711,12860,,,,
9712,12861,,,,
9713,12862,,,,
9714,12863,,,,
9715,12864,,,,
9716,12865,,,,
15268,22761,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch)",Daqing 163453,China,
15268,22762,"9 Dongzhimen North Street, Dongcheng District, (Head Office)",Beijing 100007,China,
15268,22763,"No. 7 Century Ave, (Registered Office)","Xinjiang, Karamay 834000",China,
15268,22764,"No. 68 Zhongya South Rd, Economic and Technological Development Zone, (Urumqi, Xinjiang Branch)",Urumqi 830026,China,
17013,25798,"29, Bolshaya Morskaya str.",St. Petersburg 190000,Russia,
17013,25799,37 Plyushchikha ul.,Moscow 119121,Russia,
17013,25800,"43, Vorontsovskaya str.",Moscow 109044,Russia,
17013,52482,"11 litera, per. Degtyarny",St. Petersburg 191144,Russia,
17013,52483,"11, lit A, Degtyarnyy pereulok",St. Petersburg 191144,Russia,
17013,52484,"43, bld.1, Vorontsovskaya str.",Moscow 109147,Russia,
17013,52485,"Bashnya Zapad, Kompleks Federatsiya, 12, nab. Presnenskaya",Moscow 123317,Russia,
17013,52486,"str. 1, 43, ul. Vorontsovskaya",Moscow 109147,Russia,
17013,52488,Vorontsovskaya Str 43,Moscow 109147,Russia,
17014,25802,"3, Gagarinsky Pereulok",Moscow 119034,Russia,
17014,25803,3 Gagarinsky per.,Moscow 119034,Russia,
17015,25805,Akademik Sakharov Ave 9,Moscow 107996,Russia,
17015,52521,"Pr-kt, Akademika Sakharova, D. 9",Moscow 107078,Russia,
17016,25807,"16 Nametkina Street, Bldg. 1",Moscow 117420,Russia,
17017,25810,8/15 Korp. 3 ul. Rozhdestvenka,Moscow 107996,Russia,
17017,25811,"Bld 3 8/15, Rozhdestvenka St.",Moscow 107996,Russia,
17018,52487,19 ul. Vavilova,Moscow 117312,Russia,
17022,25840,26/1 Sofiyskaya Embankment,Moscow 115035,Russia,
17064,25919,"2, Udaltsova Street",Moscow 119415,Russia,
17064,25921,"22 A, Pobedy Street, Tarko-Sale",Yamalo-Nenets Autonomous District 629580,Russia,
17064,25922,"22a Pobedy ul., Tarko-Sale","Purovski raion, Tyumenskaya Oblast 629850",Russia,
17143,26038,"5, Let. A, Galernaya",Saint Petersburg 190000,Russia,
17143,26039,"d. 3-5 litera A Ch. Pom. 1N kab. 2401, ul. Pochtamtskaya",St. Petersburg 190000,Russia,
17145,26046,"ul. Grigoriya Kukuyevitskogo, 1, bld. 1, Khanty-Mansiysky Autonomous Okrug - Yugra","the city of Surgut, Tyumenskaya Oblast 628415",Russia,
17145,26048,korp. 1 1 Grigoriya Kukuevitskogo ul.,"Surgut, Tyumenskaya oblast 628404",Russia,
17145,26049,Street Kukuevitskogo 1,"Surgut, Tyumen Region 628415",Russia,
17248,26282,11 Sretenski boulevard,Moscow 101000,Russia,
17250,26288,"2/3 Lakhtinsky Avenue, Bldg. 1","St. Petersburg, Russia 197229",Russia,
17250,26290,BOX 1255,St. Petersburg 190900,Russia,
17250,52480,156A Moskovsky Avenue,St. Petersburg,Russia,
17254,52600,"naberezhnaya Presnenskaya, D. 4, Str. 2",Moscow 123112,Russia,
17260,26319,24 Usacheva Str.,Moscow 119048,Russia,
17260,26320,21 Gogolevsky Blvd.,Moscow 119991,Russia,
18267,27623,"Magistralnaya St., 2","Buzuluk, the Orenburg Region 461040",Russia,
18267,27624,st. Magistralynaya 2,Buzuluk 461040,Russia,
18268,27626,12 Krasnopresnenskaya Embankments,Moscow 123610,Russia,
18269,27628,"Lenina St. 4, the Tyumen Region","Khanty-Mansiysk, Autonomous District, Nizhnevartovsk 628606",Russia,
18270,27631,d. 139 ul. Pyatigorskaya Essentuki,Stavropolski krai 357625,Russia,
18271,27632,"Baikalskaya St., 295 B",Irkutsk 664050,Russia,
18272,27635,nab. Krasnopresnenskaya d. 12,Moscow 123610,Russia,
18273,27639,"Nab. Presnenskaya D. 10, pom II komn 8-59",Moscow 123112,Russia,
18274,27640,"Dobrovolcheskoy Brigady St., 15",Krasnoyarsk Territory 660077,Russia,
18275,27643,d. 14 prospekt Olimpiski,Moscow 129090,Russia,
18276,27645,"Lenina St., 26","Nefteyugansk, Tyumen Region 628309",Russia,
18277,27647,d. 59 str. 2 ul. Zemlyanoi Val,Moscow 109004,Russia,
18278,27650,d. 35 A ul. Partizana Zheleznyaka,"Krasnoyarsk, Krasnoyarski krai 660022",Russia,
18279,27655,d. 9 prospekt Akademika Sakharova,Moscow 107996,Russia,
18280,27653,Angarsk,Irkutsk region 665830,Russia,
18280,27656,6 ul. K. Marksa,Angarsk 665830,Russia,
18281,27658,"ul. Bryanskaya D. 5, et 4 pom. I kom 25",Moscow 121059,Russia,
18282,27661,Novokuibyshevsk,Samara region 446207,Russia,
18283,27662,79 ul. Sadovnicheskaya,Moscow 115035,Russia,
18284,27665,115 Leningradskaya st.,"Komsomolsk-on-Amur, Khabarovsk region 681007",Russia,
18285,27666,7 Tverskaya ul.,Moscow 125375,Russia,
18286,27668,d. 7 str. A ul. Mashi Poryvaevoi,Moscow 107078,Russia,
18287,27670,d. 9 prospekt Akademika Sakharova,Moscow 107996,Russia,
18287,52533,"Per. Lyalin D. 19, Korpus 1, Pom. XXIV, Kom 11",Moscow 101000,Russia,
18288,27672,d. 10 ul. Vozdvizhenka,Moscow 125009,Russia,
18288,52531,"Str. Dolgorukovskaya, 7, Novoslobodskaya",Moscow 127006,Russia,
18289,27676,"Frances House, Sir William Place",St. Peter Port GY1 4EU,Guernsey,
18289,27796,"Korobeinikov Lane, 1",Moscow 119034,Russia,
18290,27675,1 Astrakhanskaya st.,"Syzran, Samara region 446009",Russia,
18290,27677,"Moskvorechje street 105, Building 8",Moscow 115523,Russia,
18291,27679,29 Pobeditelei ave.,Minsk 220004,Belarus,
18291,52523,"Myasnikova, 32",Minsk 220050,Belarus,
18292,27682,"Achinsk Refinery industrial area, Bolsheuluisky district",Krasnoyarsk territory 662110,Russia,
18293,27683,"12, Shevchenko lane",Kyiv 01001,Ukraine,
18294,27687,25 Groznenskaya st.,Samara 443004,Russia,
18295,27686,"Suite 5808, 58/F, Two International Finance Center, 8 Finance Street Central",Hong Kong,China,
18296,27689,60 Oktyabrskaya ul.,Uvat 626170,Russia,
18297,27691,"Ulica Kaluzhskaya M., d., 15, str. 28",Moscow 119071,Russia,
18298,27693,65/1 Suschevsky Val,Moscow 129594,Russia,
18298,27694,65 Sushchevskiy val,Moscow 129594,Russia,
18299,27696,"Rue Place du Lac 2, 1204",Geneva,Switzerland,
18300,27698,"Elenion Building 5 Themistokli Dervi, 2nd floor","Lefkosia, Nicosia 1066",Cyprus,
18301,27700,"46A Avenue John F Kennedy, 2nd Floor",Luxembourg 1855,Luxembourg,
18669,28371,d.19 ul. Vavilova,Moscow 117997,Russia,
18708,28410,46 Molodezhnaya St.,"Odintsovo, Moscow Region 143002",Russia,
18709,28412,Novoivanovskoe workers settlement,"Odintsovo, Moscow Region 143026",Russia,
18709,28413,6 Vorobievskoe shosse,Moscow 119285,Russia,
18710,52544,26 ul. Pravdy,Moscow 125124,Russia,
18711,28419,16 Lva Tolstogo ul.,Moscow 119021,Russia,
18714,28426,6 Mulyavina Boulevard,Minsk 220005,Belarus,
18715,28428,46 Volodymyrska street,Kyiv 01601,Ukraine,
18715,52516,46 Vladimirskaya St,Kyiv 01601,Ukraine,
18716,28430,Schwarzenbergplatz 3,Vienna 1010,Austria,
18717,28432,Gartenstrasse 24,8002 Zurich,Switzerland,
18717,28433,PO Box 2136,Zurich 8027,Switzerland,
18717,28434,Freigutstrasse 16,8027 Zurich,Switzerland,
18718,28437,Avenue J.F. Kennedy 46a,1855 Luxembourg,Luxembourg,
18719,28439,d. 35 ul. Myasnitskaya,Moscow 101000,Russia,
18720,28441,"8/26, Shevchenka boulevard/Pushkinska street",Kyiv 01004,Ukraine,
18720,28442,8/26 Pushkinskaya str/Shevchenko bulvr,Kiev 01004,Ukraine,
18721,28444,"14, Moskovskaya Street",Minsk 220007,Belarus,
18722,28446,"46 Ul, Nalbandyan",Yerevan 375010,Armenia,
18723,28449,28 Timiryazev Street,Almaty 050040,Kazakhstan,
18724,28451,38 Khatai ave. Nasimi district,Baku AZ 1008,Azerbaijan,
18724,28452,"60, Samed Vurgun str",Baku 1022,Azerbaijan,
18725,28454,"22, Rua da Missao",Luanda,Angola,
18726,28456,"14, G. Chanturia Street",Tbilisi 0114,Georgia,
18727,28458,"Parking 6, PO Box 560",Vienna 1010,Austria,
18728,28460,2 Balkanska street,Belgrade 11 000,Serbia,
18729,28462,12 Presnenskaya nab.,Moscow 123100,Russia,
18729,52492,"4th Lesnoy Pereulok 4, Capital Plaza",Moscow 125047,Russia,
18729,52493,"Room 410, Stolyarniy Pereulok 3, bld 34",Moscow 123022,Russia,
18730,28464,d. 52 str. 1 nab.Kosmodamianskaya,Moscow 115054,Russia,
18731,28466,"Room 47, office XIV, 8 Brestskaya Street",Moscow 125047,Russia,
18731,52496,"d. 35 str. 1, Prospect Leningradski",Moscow 125284,Russia,
18732,28468,str. 1 8 Chistoprudnyy bulvar,Moscow 101000,Russia,
18733,28470,d. 52 str. 1 nab.Kosmodamianskaya,Moscow 115054,Russia,
18734,28472,d. 43 str. 1 ul. Vorontsovskaya,Moscow 109147,Russia,
18735,59944,"d. 10 etazh 7 (BLOK A), Naberezhnaya Presnenskaya",Moscow 123112,Russia,
18736,28476,35 Myasnitskaya Street,Moscow 101000,Russia,
18737,28478,"23, Pravdy Street",Moscow 125040,Russia,
18738,28480,d. 43 korp. 1 ul. Vorontsovskaya,Moscow 109147,Russia,
18739,28482,"Per. 2-I Volkonskii, D. 10",Moscow 127473,Russia,
18739,28483,"Ul. Vorontsovskaya, D. 43, Str.1",Moscow 109147,Russia,
18740,59943,"d. 35 str. 1 Etazh 5, Pomeshch. I, Kom. 129, Prospekt Leningradski",Moscow 125284,Russia,
18741,28487,d.14 shosse Entuziastov,Moscow 111024,Russia,
18741,54752,"Room 12, room IB, ground floor, 32 Leninsky Ave",Moscow,Russia,
18742,28489,2 ul. Krasnogo Tekstilshchika,St. Petersburg 191124,Russia,
18743,28491,d. 24 str. 2 ul. Novoslobodskaya,Moscow 127055,Russia,
18743,52524,"12 B. Savvinsky Lane, building 9, floor 1, office 1, room 1",Moscow 119435,Russia,
18744,28493,d. 29/16 per. Sivtsev Vrazhek,Moscow 119002,Russia,
18745,28495,12a Korp. 1str 6 Pr 2-I Yuzhnoportovy,Moscow 115432,Russia,
18746,28497,d. 10 nab. Novodanilovskaya,Moscow 117105,Russia,
18747,28499,10 Presnenskaya Embankment,Moscow 123317,Russia,
18748,28501,19 Vavilova St.,Moscow 117997,Russia,
18749,28503,d. 31 G ul. Shabolovka,Moscow 115162,Russia,
18750,28505,"42 Bolshaya Yakimanka St., b. 1-2, office 209",Moscow 119049,Russia,
18750,28506,7 ul. Pavlovskaya,Moscow,Russia,
18750,52543,"3 Poklonnaya Street, building 1, floor 1, office 3",Moscow 121170,Russia,
18751,28508,"42 Bolshaya Yakimanka St., b. 1-2, office 206",Moscow 119049,Russia,
18751,52541,"1 Vasilisy Kozhinoy Street, building 1, floor 11, room 30",Moscow 121096,Russia,
18752,28510,"68 Sampsonievsky Avenue, letter N, Room 1N",Saint Petersburg 194100,Russia,
18753,28512,Boulevard Konrad Adenauer 2,Luxembourg 1115,Luxembourg,
18753,52532,"14, rue Edward Steichen",L-2540,Luxembourg,
18768,28530,str. 2 2 Paveletskaya pl.,Moscow 115054,Russia,
18769,28533,"21 str. 1, bulvar Gogolevski",Moscow 119019,Russia,
18769,53885,7 Kievskaya Str.,Moscow 121059,Russia,
18770,28535,12 Kosmonavta Volkova,Moscow 127299,Russia,
18770,56615,"Ul. Vereiskaya D. 29, Str. 141",Moscow 121357,Russia,
18771,28537,d. 15 str. 2 ul. Novy Arbat,Moscow 119019,Russia,
18772,28539,d. 58 str. 4 shosse Leningradskoe,Moscow 125212,Russia,
18772,53886,"Ul. Bolshaya Tatarskaya D. 35, Str. 5",Moscow 115184,Russia,
18773,28541,"29, korp.31 ul. Ibragimova",Moscow 105318,Russia,
18773,28542,29/31 Ibragimova Street,Moscow 105318,Russia,
18774,28544,"Ul. Bolshaya Tatarskaya D. 35, Str. 5",Moscow 115184,Russia,
18775,28546,d. 65 str. 1 ul. Gilyarovskogo,Moscow 107996,Russia,
18776,28548,d. 40 korp. 1 ul. Narodnogo Opolcheniya,Moscow 123298,Russia,
18777,28550,d. 24 ul. Usacheva,Moscow 119048,Russia,
18778,28552,d. 2/17 str. 1 tup Verkhni Taganski,Moscow 109240,Russia,
18779,56525,"176, Prospekt Mira",Moscow 129366,Russia,
18780,28557,"2-4-6, str. 14 per. Bolshoi Savvinski",Moscow 119435,Russia,
18781,28559,str. 141 29 Vereiskaya ul.,Moscow 121357,Russia,
18782,28561,27 Stromynka Ul.,Moscow 107076,Russia,
18783,28563,str. 1 18 Malaya Pirogovskaya ul.,Moscow 119435,Russia,
18784,52481,"bld.1,Polyanka Bolshaya str. 50/1",Moscow 119180,Russia,
18785,28569,d. 24 ul. Usacheva,Moscow 119048,Russia,
18786,28571,d. 24 ul. Usacheva,Moscow 119048,Russia,
18787,28573,"Vereiskaya 29, str. 141",Moscow 121357,Russia,
18787,28574,29 / 141 Verejskaya Street,Moscow 121357,Russia,
18788,28576,"Turchaninov Pereulok D. 6, Str. 2, Of. 105",Moscow 119048,Russia,
18789,28578,"Street Malaya Pirogovskaya, D. 18, Bldg. 1",Moscow 119435,Russia,
18790,28581,"Per. Skatertniy, D. 18",Moscow 121069,Russia,
18791,28583,"Per. Aviatsionniy, D. 5",Moscow 125319,Russia,
18792,28585,"P. Rassudovo, Street Tsentralnaya, D. 103",Moscow 143396,Russia,
18793,28587,d. 125b shosse Varshavskoe,Moscow 117587,Russia,
18793,28588,"Pr. Krasnokazarmenniy, D. 14 A, Bldg. 19",Moscow,Russia,
18794,28590,d. 9 Pr. 1-I Magistralny,Moscow 123290,Russia,
18795,28592,d. 51 korp. 2 ul. Sovetskaya,"Kirov, Kirovskaya obl. 610008",Russia,
18808,28610,Vladenie 33 Shosse Altufevskoe,Moscow 127410,Russia,
18808,28611,"Shosse Altufyevskoye, D. 33",Moscow 127410,Russia,
18809,28613,d. 34/63 ul. Obrucheva,Moscow 117342,Russia,
18810,28615,32 ul. Stantsionnaya,"Novosibirsk, Novosibirskaya obl. 630108",Russia,
18811,28617,d. 33 ul. Shcheglovskaya Zaseka,"Tula, Tulskaya obl. 300004",Russia,
18812,28619,d. 51 ul. Sovetskaya,"Kirov, Kirovskaya obl. 610008",Russia,
18813,28621,d. 1 A ul. Udaltsova,Moscow 119415,Russia,
18814,28623,d. 8 ul. Lenina P Kalinovo,"Nevyanski Raion, Sverdlovskaya obl. 624186",Russia,
18815,28625,60 ul. Dachnaya,"Novosibirsk, Novosibirskaya obl. 630082",Russia,
18816,28627,"d. 2 korp., 4 str., 16 kv., 6 per. Bolshoi Savvinski",Moscow 119435,Russia,
18817,28629,"Street Ibragimova, D. 31",Moscow 105318,Russia,
18818,28631,"Street Vracha Mikhaylova, D. 34",Ulyanovsk 432010,Russia,
18819,28633,16 Budennogo prospekt,Moscow 105118,Russia,
18820,28636,"Entrance 9, 12, Krasnopresnenskaya emb.",Moscow 123610,Russia,
18820,53786,"1, Ul. Bolshaya Pionerskaya",Moscow 115054,Russia,
19468,29591,d. 9 ul. Geologorazvedchikov,"Novy Urengoi, Yamalo-Nenetski a.o 629306",Russia,
19469,29593,d. 15 ul. Mira,"Yugorsk, Khanty-Mansiski Avtonomny okrug, Yugra a.o. 628260",Russia,
19470,29595,d. 20 korp. 8 ul. Staraya Basmannaya,Moscow 107066,Russia,
19471,29597,3 korp. 2 ul. Varshavskaya,St. Petersburg 196128,Russia,
19472,29599,d. 6 prospekt Oktyabrskoi Revolyutsii,"Stavropol, Stavropolski krai 355000",Russia,
19542,29677,3 korp.2 ul. Varshavskaya,St. Petersburg 196128,Russia,
19543,29679,8 Korp. 1 ul. Stroitelei,Moscow 117939,Russia,
19544,29681,d. 1 ul. Zvereva,"Nadym, Yamalo-Nenetski a.o. 629730",Russia,
19545,29683,d. 16 ul. Nametkina,Moscow 117997,Russia,
19546,29685,d. 24 korp. LITER A nab. Admirala Lazareva,St. Petersburg 197110,Russia,
19631,29798,d. 4 prospekt Oktyabrski,"Kemerovo, Kemerovskaya obl 650066",Russia,
19632,29800,d. 39/2 prospekt Lenina,"Ukhta, Komi resp 169312",Russia,
19633,29802,d. 41 ul. Adelya Kutuya,"Kazan, Tatarstan resp 420073",Russia,
19634,29804,d. 118 A prospekt Im 50 Let Oktyabrya,"Saratov, Saratovskaya obl. 410052",Russia,
19635,29806,d. 20 litera A nab. Aptekarskaya,St. Petersburg 197022,Russia,
19636,29808,d. 20 ul. Respubliki,"Noyabrsk, Yamalo-Nenetski a.o. 629802",Russia,
19637,29810,d. 8 korp. 1 ul. Stroitelei,Moscow 119311,Russia,
19638,29813,d. 12 A ul. Nametkina,Moscow 117420,Russia,
19639,29815,d. 10 B ul. Nametkina,Moscow 117420,Russia,
19640,29817,d. 6 litera D ul. Startovaya,St. Petersburg 196210,Russia,
19641,29819,d. 1 ul. Moskovskaya,"Shchelkovo, Moskovskaya obl 141112",Russia,
19642,29821,d. 53 ul. Shosse Neftyanikov,"Krasnodar, Krasnodarski krai 350051",Russia,
19643,29823,d. 36 ul. Im Dzerzhinskogo,"Krasnodar, Krasnodarski krai 350051",Russia,
19644,29825,"16, Gsp-7 ul. Nametkina",Moscow 117997,Russia,
19645,29827,d. 16 ul. Ostrovskogo,"Surgut, Khanty-Mansiski Avtonomny okrug - Yugra a.o. 628417",Russia,
19646,29829,58 ul. Raboche-Krestyanskaya,"Volgograd, Volgogradskaya obl. 400074",Russia,
19647,29831,d. 9 prospekt Frunze,"Tomsk, Tomskaya obl. 634029",Russia,
19648,29833,d. 1 ul. Universitetskaya,"Surgut, Khanty-Mansiski Avtonomny okrug - Yugra a.o. 628406",Russia,
19649,29835,d. 11 ul. Zvezdinka,"Nizhni Novgorod, Nizhegorodskaya obl. 603950",Russia,
19650,29837,41 str. 1 prospekt Vernadskogo,Moscow 119415,Russia,
19652,29841,8 Korp. 1 ul. Stroitelei,Moscow 119991,Russia,
19653,29843,"15 Gazovikov St., bld. 1, Razvilka","Leninski Raion, Moskovskaya obl. 142717",Russia,
19653,63717,Sevastopolskaya St. 1A,"Ukhta, Komi Republic",Russia,
19654,29845,d. 62 str. 2 shosse Starokaluzhskoe,Moscow 117630,Russia,
19670,29857,d. 13 str. 3 ul. Bolshaya Cheremushkinskaya,Moscow 117447,Russia,
19672,29860,d. 14 ul. Nizhnyaya Naberezhnaya,"Irkutsk, Irkutskaya obl 664011",Russia,
19673,29862,d. 54 korp. 1 litera A pomeshch prospekt Primorski,St. Petersburg 197374,Russia,
19674,29864,d. 106 A str. 1 ul. Novo-Sadovaya,"Samara, Samarskaya obl. 443068",Russia,
19675,29867,"Sosenskoe Pos, Pos. Gazoprovod, D. 101 Korp. 9",Moscow 142770,Russia,
19676,29869,d. 41 korp. 1 prospekt Vernadskogo,Moscow 117415,Russia,
19677,29871,d. 8 ul. Zheleznodorozhnaya,"Novy Urengoi, Yamalo-Nenetski a.o. 629307",Russia,
19678,29873,d. 70 ul. Gertsena,"Tyumen, Tyumenskaya obl. 625000",Russia,
19681,29878,ul. O. Bulacha,"Makhachkala, Dagestan resp. 367030",Russia,
19683,29881,59 ul. Rikharda Zorge,"Ufa, Bashkortostan resp. 450054",Russia,
19684,29883,d. 73 ul. Bolshaya Podgornaya,"Tomsk, Tomskaya obl. 634009",Russia,
19685,29890,d. 103 prospekt Kurortny,"Sochi, Krasnodarski krai 354024",Russia,
19686,29893,d. 6 ul. Nametkina,Moscow 117420,Russia,
19687,29897,d. 19 ul. Pogranichnaya,"Petropavlovsk-Kamchatski, Kamchatski krai 683032",Russia,
