ent_num,alt_num,alt_type,alt_name,alt_remarks
9639,9150,aka,"HANIYA, Ismail",
9639,9151,aka,"HANIYYA, Ismaeel",
9640,9152,aka,"ABU TAIR, Mohammed Mahmud",
9640,9153,aka,"ABOU TAYR, Mohammad Mahmoud",
9641,9154,aka,"EL-SHANTI, Jameela Abdallah",
9641,9155,aka,"AL SHANTEE, Jamila Abed Allah",
9642,9156,aka,"ALA AL DIN, Mohamad Nouman",
9642,9157,aka,"AL NATSHEH, Mohammed",
9644,9158,aka,"RABBAI, Khalil Mussa",
9645,9159,aka,"AL QRENAWI, Houda Naim",
9647,9160,aka,"AL ZAHAR, Mahmoud Khaled",
9648,9161,aka,"HASAN DOUKHAN, Abdul Fattah",
9651,9162,aka,"QARAWI, Mohammed Fathi",
9652,9163,aka,"AL-ZBOUN, Anwar Muhammad",
9653,9164,aka,"NAWFAL, Imad Mahmoud",
9655,9165,aka,"MANSOUR, Muna Salem",
9656,9166,aka,"EL ABADSA, Yehia Abdul Aziz",
9659,32437,aka,"HAMMAD, Fathi Ahmad",
9659,32438,aka,"HAMAD, Fathy Ahmed",
9659,32439,aka,"HAMAD, Fathi",
9661,9167,aka,"ABU MUSAMEH, Sayed Salem",
9662,9168,aka,"ABOU RAAS, Merwan Muhammed",
9663,9169,aka,"HALAYQA, Sameera Abed Allah",
9668,9170,aka,"DWAIK, Aziz Salem Mustada",
9669,9171,aka,"SALHAB, Azzam Numan Rahman",
9669,9172,aka,"SALHAB TAMIMI, Azzam No'man Abdel Rahman",
9670,9173,aka,"RAMADAN, Nizar Abd-Al-Aziz",
9671,9174,aka,"RAJOUB, Naif Mahmod",
9672,9175,aka,"AL-QADI, Sameer Saleh",
9673,9176,aka,"ABU JHESHEH, Mohammad Mutlaq",
9673,9177,aka,"ABU JEHEISHA, Mohammed",
9674,9178,aka,"KAFEESHEH, Hatem Rabah",
9674,9179,aka,"QEFEISHA, Hatem",
9674,9180,aka,"ABU ANED, Hadj Hatem",
9675,9181,aka,"ZAAREER, Basim Ahmad",
9676,9182,aka,"AL-TAL, Mohammad Ismail",
9677,9183,aka,"ABU SAIR, Da'oud Kamal Da'oud",
9678,9184,aka,"KHUDAIR, Hamid Sulieman Jabir",
9679,9185,aka,"YASIN, Husni Mohammad Bourini",
9680,9186,aka,"AMLI, Riyad Ali Mustafa",
9681,9187,aka,"AHMAD, Ahmad Ali Ahmad",
9682,9188,aka,"DAR KHALIL, Hasan Youssef Daoud",
9682,9189,aka,"DAR KHALIL, Hassan Yousef Dawoud",
9683,9190,aka,"HAMDAN, Fadel Mohammad Saleh",
9684,9191,aka,"MUSLEH, Mahmoud Ibrahim Mahmoud",
9685,9192,aka,"MUBARAK, Ahmad Abdel Aziz Saleh",
9686,9193,aka,"THOUAIB, Khaled Ibrahim Tafish",
9686,9194,aka,"DWEIB, Khaled Tafesh",
9687,9195,aka,"AL-KHATIB, Mahmoud Daoud Mahmoud",
9688,9196,aka,"YEHIA, Khaled Said",
9689,9197,aka,"ABOU HASSAN, Khaled Suleiman Fayez",
9689,9198,aka,"ABU HASAN, Khalid Sulayman Fayiz",
9690,9199,aka,"ZEIDAN, Abdel Rahman Fahmi Rahman",
9691,9200,aka,"RADAD, Riyad Mahmoud Sa'eed",
9691,9201,aka,"AL-SEDAWI, Riyad Radad",
9692,9202,aka,"ATTOUN, Ahmad Mohammad Ahmad",
9692,9203,aka,"ATOON, Ahmed Muhamad Ahmed",
9693,9204,aka,"ABOU SALEM, Ibrahim Said Hasan",
9694,9205,aka,"TAWTAH, Mohammad Omran Saleh",
9694,9206,aka,"TAWTA, Muhamed Umran Salih",
9695,9207,aka,"ABDUL RAHMAN, Wael Muhammed",
9695,9208,aka,"ABED AL RAHMAAN, Wael Mohamad",
9696,9209,aka,"ABDEL JAWAD, Nasir Abdullah Odeh",
9697,9210,aka,"ABU QOUS, Khalid Hamad Hamid",
9698,9211,aka,"NAJJAR, Khamis Jawdat Khamis",
9699,9212,aka,"EL BARDAWIL, Salah Mohammad",
9700,9213,aka,"EL-ASTAL, Younis Mohe-eldeen Fayez",
9701,9214,aka,"AL-JAMAL, Abdel Al-Rahman Yusef",
9702,9215,aka,"SALAMEH, Salem Ahmad Abdel Hadi",
9703,9216,aka,"SEYAM, Said Mohammad",
9703,9217,aka,"SIYAM, Saeed Mohammad",
9704,9218,aka,"BAHAR, Ahmed Mohamed",
9705,9219,aka,"NASSER, Jamal Talab Mohammad Saleh",
9705,9220,aka,"SALEH, Jamal Talab",
9706,9221,aka,"ELHYYA, Khalil Esmaeel",
9707,9222,aka,"ELGHOUL, Mohammad Faraj Mahmood",
9708,9223,aka,"ELHABEL, Moshir Omar",
9708,9224,aka,"EL-MASRI, Moshir",
9709,9225,aka,"ADWAN, Atef Ibrahim",
9709,9226,aka,"IDWAN, Atef Ibrahim Mohammad",
9710,9227,aka,"AL-SHRAFI, Yousef Awad",
9711,9228,aka,"AL-ALASHQAR, Ismail Abdallatif",
9712,9229,aka,"SHEHAB, Mohamed Abed Hadi Rahman",
15268,22509,fka,KARAMAY URBAN CREDIT COOPERATIVES,
15268,22510,fka,KARAMAY CITY COMMERCIAL BANK CO LTD.,
17013,26072,fka,JSC VTB BANK,
17013,26073,fka,BANK VTB OPEN JOINT STOCK COMPANY,
17013,26075,fka,BANK VNESHNEY TORGOVLI OPEN JOINT STOCK COMPANY,
17013,26076,fka,BANK VNESHNEY TORGOVLI JOINT STOCK COMPANY,
17013,26077,fka,BANK VNESHNEI TORGOVLI RSFSR,
17013,26078,fka,BANK VNESHNEY TORGOVLI ROSSIYSKOY FEDERATSII CLOSED JOINT STOCK COMPANY,
17013,26079,fka,VNESHTORGBANK ROSSII CLOSED JOINT STOCK COMPANY,
17013,26081,fka,BANK VTB OAO,
17013,54895,aka,VTB BANK PAO,
17013,54896,fka,VTB BANK OAO,
17013,54900,aka,VTB BANK PJSC,
17013,54902,aka,BANK VTB PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,
17013,54903,aka,VTB BANK,
17013,54907,fka,OAO BANK VTB,
17013,54908,fka,VTB BANK OPEN JOINT STOCK COMPANY,
17013,54909,fka,BANK VNESHEI TORGOVLI OAO,
17013,54912,fka,BANK VNESHNEI TORGOVLI ROSSISKOI FEDERATSII AS A PRIVATE JOINT STOCK COMPANY,
17013,54914,fka,OAO VNESHTORGBANK,
17013,54940,fka,BANK OF FOREIGN TRADE OF THE RUSSIAN FEDERATION,
17013,54941,fka,BANK FOR FOREIGN TRADE OF RSFSR,
17013,54942,fka,VNESHTORGBANK OF RSFSR,
17013,54943,fka,CJSC BANK FOR FOREIGN TRADE OF THE RUSSIAN FEDERATION,
17013,54944,fka,RUSSIAN VNESHTORGBANK,
17013,54945,fka,VNESHTORGBANK,
17013,54946,fka,OJSC CJSC BANK FOR FOREIGN TRADE,
17013,55124,aka,BANK VTB PAO,
17014,26083,aka,RUSSIAN AGRICULTURAL BANK,
17014,26084,aka,RUSSIAN AGRICULTURAL BANK OPEN JOINT STOCK COMPANY,
17014,26085,aka,ROSSELKHOZBANK,
17014,26086,aka,RUSSIAN AGRICULTURAL BANK OJSC,
17015,55018,aka,GOSUDARSTVENNAYA KORPORATSIYA RAZVITIYA VEB.RF,
17015,55019,aka,STATE DEVELOPMENT CORPORATION VEB.RF,
17015,55020,aka,GK VEB.RF,
17015,55021,aka,VEB.RF,
17015,55023,fka,VNESHECONOMBANK,
17015,55024,fka,VNESHEKONOMBANK SSSR,
17015,55025,fka,VNESHEKONOMBANK GK,
17015,55026,fka,BANK FOR FOREIGN TRADE OF THE U.S.S.R.,
17016,26095,fka,GAZPROMBANK OPEN JOINT STOCK COMPANY,
17016,54916,aka,BANK GPB JSC,
17016,54917,aka,GAZPROMBANK AO,
17016,54918,fka,JOINT STOCK BANK OF THE GAS INDUSTRY GAZPROMBANK,
17017,26099,aka,JOINT STOCK COMMERCIAL BANK - BANK OF MOSCOW OPEN JOINT STOCK COMPANY,
17017,26100,fka,AKTSIONERNY KOMMERCHESKI BANK BANK MOSKVY OTKRYTOE AKTSIONERNOE OBSCHCHESTVO,
17017,59455,fka,BANK MOSKVY PAO,
17017,59456,fka,BANK OF MOSCOW,
17017,59457,aka,BM BANK PUBLIC JOINT STOCK COMPANY,
17017,59458,aka,PAO BM BANK,
17017,59459,aka,BM BANK AO,
17018,26102,aka,SBERBANK ROSSII,
17018,26103,fka,SBERBANK ROSSII OAO,
17018,26104,fka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO SBERBANK ROSSII,
17018,54948,aka,SBERBANK OF RUSSIA,
17018,54949,aka,PJSC SBERBANK,
17018,54950,fka,OPEN JOINT STOCK COMPANY SBERBANK OF RUSSIA,
17018,54951,fka,OJSC SBERBANK OF RUSSIA,
17018,54952,fka,JOINT STOCK COMMERCIAL SAVINGS BANK OF THE RUSSIAN FEDERATION,
17018,54953,fka,JOINT STOCK COMMERCIAL SAVINGS BANK OF THE RUSSIAN SOVIET FEDERATIVE SOCIALIST REPUBLIC,
17018,54954,fka,SBERBANK OF RSFSR,
17022,26109,aka,OJSC ROSNEFT OIL COMPANY,
17022,26110,aka,ROSNEFT OIL COMPANY,
17022,26111,aka,OAO ROSNEFT OIL COMPANY,
17022,26112,aka,OIL COMPANY ROSNEFT,
17022,26113,aka,ROSNEFT,
17064,26208,aka,FINANSOVO-INVESTITSIONNAYA KOMPANIYA NOVAFININVEST OAO,
17064,26220,aka,NOVATEK,
17143,26284,aka,PUBLICHNOE AKTSIONERNOE OBSHCHESTVO GAZPROM NEFT,
17143,26285,aka,GAZPROM NEFT PJSC,
17143,26286,aka,GAZPROM NEFT PAO,
17145,26292,aka,OPEN JOINT STOCK COMPANY SURGUTNEFTEGAS,
17145,26293,aka,SURGUTNEFTEGAZ OAO,
17145,26295,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO SURGUTNEFTEGAZ,
17145,26296,aka,SURGUTNEFTEGAS OJSC,
17145,26297,aka,SURGUTNEFTEGAS OAO,
17248,26538,aka,LUKOIL OIL COMPANY,
17248,26539,aka,LUKOIL,
17248,26540,aka,NK LUKOIL OAO,
17248,26541,aka,NEFTYANAYA KOMPANIYA LUKOIL OOO,
17250,26548,aka,GAZPROM PAO,
17250,26549,aka,PJSC GAZPROM,
17250,54934,aka,GAZPROM,
17254,26558,fka,AK TRANSNEFT OAO,
17254,26559,fka,AKTSIONERNAYA KOMPANIYA PO TRANSPORTU NEFTI TRANSNEFT PAO,
17254,26560,aka,OIL TRANSPORTING JOINT STOCK COMPANY TRANSNEFT,
17254,26561,aka,JSC TRANSNEFT,
17254,26562,aka,PJSC TRANSNEFT,
17254,26563,aka,PAO TRANSNEFT,
17254,55119,aka,PUBLICHNOE AKTSIONERNOE OBSHCHESTVO TRANSNEFT,
17260,59376,aka,"STATE CORPORATION FOR THE PROMOTION OF THE DEVELOPMENT, MANUFACTURE, AND EXPORT OF HIGH TECH PRODUCTS ROSTEC",
18267,28197,aka,ORENBURGNEFT,
18267,28198,aka,OAO JSC ORENBURGNEFT,
18268,28200,aka,"ROSEKSIMBANK, ZAO",
18268,28201,aka,RUSSIAN EXPORT-IMPORT BANK,
18268,28202,aka,GOSUDARSTVENNY SPETSIALIZIROVANNY ROSSISKI EKSPORTNO-IMPORTNY BANK (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),
18268,28203,aka,STATE SPECIALIZED RUSSIAN EXPORT-IMPORT BANK JOINT-STOCK COMPANY,
18268,54898,aka,EXIMBANK OF RUSSIA ZAO,
18268,54899,aka,EXIMBANK OF RUSSIA,
18268,54901,aka,AO ROSEKSIMBANK,
18269,28205,aka,SAMOTLORNEFTEGAZ JSC,
18269,28206,aka,SAMOTLORNEFTEGAZ,
18270,28208,aka,OJSC NORTH CAUCASUS DEVELOPMENT CORPORATION,
18270,28209,aka,OPEN JOINT-STOCK COMPANY NORTH CAUCASUS DEVELOPMENT CORPORATION,
18270,28212,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO KORPORATSIYA RAZVITIYA SEVERNOGO KAVKAZA,
18270,28213,fka,"KRSK, OAO",
18271,28211,aka,VERKHNECHONSKNEFTEGAZ,
18271,28214,aka,OJSC VERKHNECHONSKNEFTEGAZ,
18272,28216,aka,EKSAR OAO,
18272,28217,aka,ROSSISKOE AGENTSTVO PO STRAKHOVANIYU EKSPORTNYKH KREDITOV I INVESTITSI OTKRYTOE AKTSIONERNOE OBSHCHESTVO,
18272,28218,aka,RUSSIAN AGENCY FOR EXPORT CREDIT AND INVESTMENT INSURANCE JSC,
18272,28219,aka,EXIAR OJSC,
18272,54910,aka,EXIAR,
18272,54911,aka,EXIAR JSC,
18273,28221,fka,JSC FAR EAST AND ARCTIC REGION DEVELOPMENT FUND,
18273,28224,fka,OJSC THE FAR EAST AND BAIKAL REGION DEVELOPMENT FUND,
18273,55112,aka,AO VEB.DV,
18273,55113,fka,FAR EAST AND BAIKAL REGION DEVELOPMENT FUND OJSC,
18274,28226,aka,VANKORNEFT,
18274,28227,aka,ZAO VANKORNEFT,
18275,28229,aka,"FTSPF, OAO",
18275,28230,aka,OAO FEDERALNY TSENTR PROEKTNOGO FINANSIROVANIYA,
18275,28232,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO FEDERALNY CENTR PROEKTNOGO FINANSIROVANIYA,
18276,28234,aka,YUGANSKNEFTEGAZ,
18276,28235,aka,RN-YUGANSKNEFTEGAZ OOO,
18277,28238,aka,"GLOBEX COMMERCIAL BANK, JOINT STOCK COMPANY",
18277,28239,aka,"GLOBEKSBANK, AO",
18277,28240,aka,AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,
18277,28241,fka,CJSC GLOBEXBANK,
18277,28242,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,
18278,28244,aka,"KRASLESINVEST, ZAO",
18278,28245,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KRASLESINVEST,
18278,28246,aka,THE CLOSED JOINT-STOCK COMPANY KRASLESINVEST,
18278,28247,aka,CJSC KRASLESINVEST,
18279,28250,aka,LIMITED LIABILITY COMPANY RDIF MANAGEMENT COMPANY,
18279,28253,aka,RDIF MANAGEMENT COMPANY LLC,
18279,28254,aka,"UK RFPI, OOO",
18279,28255,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU UPRAVLYAYUSHCHAYA KOMPANIYA RFPI,
18279,28331,aka,MANAGEMENT COMPANY RDIF LLC,
18279,28332,aka,RDIF MANAGEMENT COMPANY,
18280,28252,aka,ANGARSK REFINERY,
18281,28257,fka,LLC RESAD,
18281,28259,fka,RESAD LLC,
18281,55116,aka,INFRASTRUKTURA MOLZHANINOVO,
18282,28261,aka,NOVOKUIBYSHEVSK REFINERY,
18283,28264,aka,JSC RUSSIAN BANK FOR SMALL AND MEDIUM ENTERPRISES SUPPORT,
18283,28265,aka,JSC SME BANK,
18283,28266,aka,AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK PODDERZHKI MALOGO I SREDNEGO PREDPRINIMATELSTVA,
18283,28267,aka,MSP BANK AO,
18283,28268,fka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK RAZVITIYA,
18284,28270,aka,RN-KOMSOMOLSKI NPZ OOO,
18284,28271,aka,KOMSOMOLSK REFINERY,
18284,28272,aka,LLC RN-KOMSOMOLSK REFINERY,
18285,28274,aka,SVIAZ-BANK AKB PAO,
18285,28275,aka,MEZHREGIONALNY KOMMERCHESKI BANK RAZVITIYA SVYAZI I INFORMATIKI (PUBLICHNOE AKTSIONERNOE OBSHCHESTVO),
18285,28276,aka,INTERREGIONAL BANK FOR SETTLEMENTS OF THE TELECOMMUNICATIONS AND POSTAL SERVICES,
18286,28279,aka,OOO VEB KAPITAL,
18286,28280,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU INVESTITSIONNA YA KOMPANIYA VNESHEKONOMBANKA,
18286,28283,aka,LLC VEB CAPITAL,
18287,28285,aka,OOO VEB INZHINIRING,
18287,28286,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VEB INZHINIRING,
18287,55043,aka,VEB ENGINEERING LIMITED LIABILITY COMPANY,
18287,55044,aka,OOO VEB ENGINEERING,
18288,28288,aka,OAO VEB LIZING,
18288,28289,aka,OTKRYTOE AKTSIONERNOE OBSHCHESTVO VEB LIZING,
18288,28290,aka,OPEN JOINT STOCK COMPANY VEB LEASING,
18288,28291,aka,OJSC VEB LEASING,
18289,28293,fka,RGI INTERNATIONAL LIMITED,
18289,28296,fka,RGI INTERNATIONAL,
18290,28297,aka,SYZRAN REFINERY,
18290,28298,aka,OPEN JOINT-STOCK OIL AND GAS COMPANY SYZRAN,
18291,28300,aka,BELVNESHECONOMBANK OPEN JOINT STOCK COMPANY,
18291,28301,aka,BELVESHECONOMBANK OAO,
18291,55032,aka,BANK BELVEB OPEN JOINT STOCK COMPANY,
18292,28303,aka,ACHINSK REFINERY,
18292,28304,aka,OAO ACHINSK OIL REFINERY VNK,
18293,28306,aka,PSC PROMINVESTBANK,
18293,28307,aka,PUBLIC STOCK COMPANY JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK,
18293,28308,aka,COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
18293,28309,aka,JOINT STOCK COMMERCIAL INDUSTRIAL AND INVESTMENT BANK PUBLIC JOINT STOCK COMPANY,
18294,28311,aka,KUIBYSHEV REFINERY,
18294,28313,aka,OJSC KUIBYSHEV REFINERY,
18296,28315,aka,RN HOLDING OAO,
18297,28317,aka,RN-AKTIV OOO,
18297,28318,aka,OOO NEFT-AKTIV,
18298,28320,aka,RUSSIAN REGIONAL DEVELOPMENT BANK,
18300,28323,fka,TNK TRADE LIMITED,
18669,29247,aka,SBERBANK CAPITAL LLC,
18669,29248,aka,SBERBANK KAPITAL OOO,
18669,29249,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SBERBANK KAPITAL,
18669,29474,aka,SBERBANK CAPITAL LIMITED LIABILITY COMPANY,
18708,29285,aka,SBERBANK INVESTMENTS LLC,
18708,29286,aka,SBERBANK INVESTMENTS OOO,
18709,29288,aka,CJSC SBERBANK LEASING,
18709,29289,aka,SBERBANK LEASING ZAO,
18709,29290,aka,SBERBANK LIZING ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,
18709,29291,aka,SBERBANK LEASING JSC,
18709,29292,fka,RUSSKO-GERMANSKAYA LIZINGOVAYA KOMPANIYA ZAO,
18710,29294,aka,CETELEM BANK LLC,
18710,29295,aka,SETELEM BANK OOO,
18710,29296,aka,SETELEM BANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
18710,29297,fka,KOMMERCHESKI BANK UKRSIBBANK OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU,
18710,55059,aka,CETELEM BANK LIMITED LIABILITY COMPANY,
18711,29299,aka,LLC PS YANDEX.MONEY,
18711,29300,aka,PS YANDEKS.DENGI OOO,
18714,29307,aka,BPS SBERBANK OJSC,
18714,29308,aka,BPS-SBERBANK OAO,
18714,55013,aka,SBER BANK,
18715,29310,aka,SUBSIDIARY BANK SBERBANK OF RUSSIA PUBLIC JOINT STOCK COMPANY,
18715,29311,aka,SBERBANK OF RUSSIA SUBSIDIARY BANK PUBLIC JOINT STOCK COMPANY,
18715,29312,aka,PUBLICHNE AKTSIONERNE TOVARYSTVO DOCHIRNII BANK SBERBANKU ROSII,
18715,29313,aka,JSC SBERBANK OF RUSSIA,
18715,29314,fka,SBERBANK OF RUSSIA SUBSIDIARY BANK PRIVATE JOINT STOCK COMPANY,
18715,55008,aka,JSC SBERBANK,
18715,55010,aka,AKTSIONERNE TOVARYSTVO SBERBANK,
18719,29321,aka,BANK VTB 24 PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,
18719,29322,aka,VTB 24 PAO,
18719,29323,aka,BANK VTB 24 CLOSED JOINT STOCK COMPANY,
18719,29324,aka,VTB 24 JSC,
